기기명,시리즈,모델,용량,제품상태,가격
아이폰11 128GB,아이폰11,기본,128GB,상,350000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,440000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,440000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,440000
아이폰12 미니 256GB,아이폰12,미니,256GB,상,440000
아이폰12 프로 128GB,아이폰12,프로,128GB,상,680000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,970000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,970000
아이폰12 미니 64GB,아이폰12,미니,64GB,상,390000
아이폰12 미니 64GB,아이폰12,미니,64GB,상,390000
아이폰12 미니 64GB,아이폰12,미니,64GB,상,390000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,550000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,603000
아이폰7 128GB,아이폰7,기본,128GB,상,210000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,하,130000
아이폰8 64GB,아이폰8,기본,64GB,중,145000
아이폰7 128GB,아이폰7,기본,128GB,하,30000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,169000
아이폰13 512GB,아이폰13,기본,512GB,중,768000
아이폰XR 64GB,아이폰xr,기본,64GB,중,178000
아이폰13 프로 1TB,아이폰13,프로,1TB,중,1270000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,575000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,680000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,670000
아이폰11 64GB,아이폰11,기본,64GB,중,320000
아이폰12 256GB,아이폰12,기본,256GB,상,610000
아이폰11프로 64GB,아이폰11,프로,64GB,중,370000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,440000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,450000
아이폰13 프로 맥스 128GB,아이폰13,프로맥스,128GB,상,1090000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,450000
아이폰12 프로 256GB,아이폰12,프로,256GB,상,659000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,926000
아이폰SE (2022) 128GB,아이폰SE,2022,128GB,상,345000
아이폰7 128GB,아이폰7,기본,128GB,중,130000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,180000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,410000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,290000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,979000
아이폰13 256GB,아이폰13,기본,256GB,상,929000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1140000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1109000
아이폰Xs 256GB,아이폰xs,기본,256GB,중,250000
아이폰Xs 256GB,아이폰xs,기본,256GB,중,210000
아이폰12 미니 256GB,아이폰12,미니,256GB,중,460000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,640000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,590000
아이폰Xs 256GB,아이폰xs,기본,256GB,중,265000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,285000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,350000
아이폰12 64GB,아이폰12,기본,64GB,중,380000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,240000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,266000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,680000
아이폰SE (2022) 128GB,아이폰SE,2022,128GB,상,392000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,280000
아이폰12 프로 512GB,아이폰12,프로,512GB,중,700000
아이폰SE (2022) 128GB,아이폰SE,2022,128GB,상,400000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,360000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,455000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,365000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,240000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,642000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,중,1267000
아이폰12 64GB,아이폰12,기본,64GB,하,375000
아이폰7플러스 32GB,아이폰7,플러스,32GB,중,167000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,653000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,422000
아이폰13 128GB,아이폰13,기본,128GB,상,850000
아이폰7플러스 128GB,아이폰7,플러스,128GB,중,202000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,1163000
아이폰13 프로 맥스 512GB,아이폰13,프로맥스,512GB,중,1452000
아이폰12 프로 128GB,아이폰12,프로,128GB,상,620000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,중,225000
아이폰12 미니 256GB,아이폰12,미니,256GB,중,503000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,410000
아이폰11 128GB,아이폰11,기본,128GB,중,514000
아이폰11프로 64GB,아이폰11,프로,64GB,상,642000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,450000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,730000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,950000
아이폰12 128GB,아이폰12,기본,128GB,중,631000
아이폰12 128GB,아이폰12,기본,128GB,중,630000
아이폰12 128GB,아이폰12,기본,128GB,중,676000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,185000
아이폰12 프로 256GB,아이폰12,프로,256GB,상,660000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,450000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,450000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,900000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,380000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,555000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,608000
아이폰13 프로 맥스 128GB,아이폰13,프로맥스,128GB,상,1090000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,370000
아이폰SE (2022) 128GB,아이폰SE,2022,128GB,상,397000
아이폰12 미니 64GB,아이폰12,미니,64GB,상,335000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,1100000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,230000
아이폰13 프로 맥스 128GB,아이폰13,프로맥스,128GB,상,1150000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,275000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,300000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,315000
아이폰13 프로 512GB,아이폰13,프로,512GB,상,1150000
아이폰12 128GB,아이폰12,기본,128GB,중,471000
아이폰11 128GB,아이폰11,기본,128GB,중,345000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,376000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,중,192000
아이폰11 128GB,아이폰11,기본,128GB,중,376000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,766000
아이폰X 64GB,아이폰X,기본,64GB,중,239000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,829000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,376000
아이폰XR 128GB,아이폰xr,기본,128GB,중,282000
아이폰11프로맥스 256GB,아이폰11,프로맥스,256GB,중,608000
아이폰12 64GB,아이폰12,기본,64GB,상,429000
아이폰11프로 64GB,아이폰11,프로,64GB,중,418000
아이폰12 128GB,아이폰12,기본,128GB,하,366000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,218000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,618000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,566000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,중,1103000
아이폰11 128GB,아이폰11,기본,128GB,중,334000
아이폰13 미니 256GB,아이폰13,미니,256GB,상,640000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,390000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,330000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,410000
아이폰12 프로 256GB,아이폰12,프로,256GB,상,650000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,408000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,408000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,429000
아이폰12 128GB,아이폰12,기본,128GB,중,471000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,566000
아이폰XR 64GB,아이폰xr,기본,64GB,중,239000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,787000
아이폰X 256GB,아이폰X,기본,256GB,상,282000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,417000
아이폰12 256GB,아이폰12,기본,256GB,중,628000
아이폰11 64GB,아이폰11,기본,64GB,중,363000
아이폰X 64GB,아이폰X,기본,64GB,하,155000
아이폰11 128GB,아이폰11,기본,128GB,중,387000
아이폰13 프로 512GB,아이폰13,프로,512GB,중,1032000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,467000
아이폰11 128GB,아이폰11,기본,128GB,중,467000
아이폰XR 128GB,아이폰xr,기본,128GB,중,282000
아이폰13 프로 128GB,아이폰13,프로,128GB,중,925000
아이폰12 128GB,아이폰12,기본,128GB,하,366000
아이폰11프로 64GB,아이폰11,프로,64GB,중,418000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,중,192000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,중,1103000
아이폰X 256GB,아이폰X,기본,256GB,중,271000
아이폰11 128GB,아이폰11,기본,128GB,중,376000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,766000
아이폰8 64GB,아이폰8,기본,64GB,중,166000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,218000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,366000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,576000
아이폰12 128GB,아이폰12,기본,128GB,중,471000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,376000
아이폰11프로맥스 256GB,아이폰11,프로맥스,256GB,중,608000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,376000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,197000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,829000
아이폰X 64GB,아이폰X,기본,64GB,중,239000
아이폰7 128GB,아이폰7,기본,128GB,중,134000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,787000
아이폰8플러스 64GB,아이폰8,플러스,64GB,중,208000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,555000
아이폰11 128GB,아이폰11,기본,128GB,중,345000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,566000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,390000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,700000
아이폰11 128GB,아이폰11,기본,128GB,하,280000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,442000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,328000
아이폰XR 64GB,아이폰xr,기본,64GB,중,226000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,중,196000
아이폰7 128GB,아이폰7,기본,128GB,중,127000
아이폰6s 128GB,아이폰6,기본,128GB,중,111000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,376000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,608000
아이폰SE (2020)  리패키징 128GB,아이폰SE,2020,128GB,중,185000
아이폰11 64GB,아이폰11,기본,64GB,중,420000
아이폰SE 64GB,아이폰SE,기본,64GB,중,250000
아이폰X 리패키징 256GB,아이폰X,기본,256GB,중,230000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,650000
아이폰12 리패키지 128GB,아이폰12,기본,128GB,중,600000
아이폰11프로 64GB,아이폰11,프로,64GB,중,370000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,830000
아이폰11프로 256GB,아이폰11,프로,256GB,중,420000
아이폰12 미니 리패키지 128GB,아이폰12,미니,128GB,중,430000
아이폰12 미니 리패키지 128GB,아이폰12,미니,128GB,중,470000
아이폰SE (2020)  리패키징 128GB,아이폰SE,2020,128GB,중,215000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,200000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,220000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,690000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,630000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,530000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,350000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,399000
아이폰11 64GB,아이폰11,기본,64GB,중,300000
아이폰12 미니 리패키지 128GB,아이폰12,미니,128GB,중,380000
아이폰SE (2022) 128GB,아이폰SE,2022,128GB,중,315000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,340000
아이폰12 프로 256GB,아이폰12,프로,256GB,상,650000
아이폰13 프로 256GB,아이폰13,프로,256GB,중,970000
아이폰12 128GB,아이폰12,기본,128GB,상,530000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,610000
아이폰7 128GB,아이폰7,기본,128GB,상,145000
아이폰7 128GB,아이폰7,기본,128GB,상,145000
아이폰12 미니 256GB,아이폰12,미니,256GB,중,395000
아이폰12 128GB,아이폰12,기본,128GB,상,490000
아이폰11 128GB,아이폰11,기본,128GB,상,375000
아이폰X 64GB,아이폰X,기본,64GB,중,269000
아이폰11프로맥스 256GB,아이폰11,프로맥스,256GB,상,640000
아이폰11프로 64GB,아이폰11,프로,64GB,상,410000
아이폰11프로 64GB,아이폰11,프로,64GB,상,410000
아이폰7 32GB,아이폰7,기본,32GB,중,110000
아이폰11프로맥스 64GB,아이폰11,프로맥스,64GB,중,485000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,699000
아이폰8 64GB,아이폰8,기본,64GB,중,159000
아이폰11프로 64GB,아이폰11,프로,64GB,상,425000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,270000
아이폰7 32GB,아이폰7,기본,32GB,상,135000
아이폰XR 64GB,아이폰xr,기본,64GB,중,220000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,560000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,710000
아이폰7플러스 128GB,아이폰7,플러스,128GB,상,219000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,650000
아이폰11 64GB,아이폰11,기본,64GB,중,325000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,340000
아이폰11 256GB,아이폰11,기본,256GB,하,250000
아이폰12 64GB,아이폰12,기본,64GB,중,460000
아이폰11 128GB,아이폰11,기본,128GB,중,330000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,370000
아이폰13 프로 맥스 128GB,아이폰13,프로맥스,128GB,중,1080000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,610000
아이폰12 128GB,아이폰12,기본,128GB,중,505000
아이폰8플러스 64GB,아이폰8,플러스,64GB,중,220000
아이폰11프로 256GB,아이폰11,프로,256GB,중,420000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,130000
아이폰11프로 64GB,아이폰11,프로,64GB,중,377000
아이폰11프로 64GB,아이폰11,프로,64GB,중,377000
아이폰11 128GB,아이폰11,기본,128GB,상,380000
아이폰12 프로 128GB,아이폰12,프로,128GB,하,430000
아이폰7 32GB,아이폰7,기본,32GB,중,122000
아이폰8 64GB,아이폰8,기본,64GB,중,145000
아이폰XR 64GB,아이폰xr,기본,64GB,중,255000
아이폰11프로 256GB,아이폰11,프로,256GB,상,460000
아이폰11 128GB,아이폰11,기본,128GB,하,220000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,250000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,250000
아이폰SE 128GB,아이폰SE,기본,128GB,중,150000
아이폰12 128GB,아이폰12,기본,128GB,중,480000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,중,155000
아이폰Xs 맥스 256GB,아이폰xs,맥스,256GB,중,355000
아이폰7 128GB,아이폰7,기본,128GB,중,110000
아이폰SE (2022) 256GB,아이폰SE,2022,256GB,하,260000
아이폰Xs 256GB,아이폰xs,기본,256GB,중,330000
아이폰12 64GB,아이폰12,기본,64GB,중,430000
아이폰12 128GB,아이폰12,기본,128GB,상,530000
아이폰6s 128GB,아이폰6,기본,128GB,중,89000
아이폰Xs 맥스 64GB,아이폰xs,맥스,64GB,하,247000
아이폰11 128GB,아이폰11,기본,128GB,하,237000
아이폰11 128GB,아이폰11,기본,128GB,중,325000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,210000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,300000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,220000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,310000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,299000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,280000
아이폰11 64GB,아이폰11,기본,64GB,중,296000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,상,230000
아이폰11 128GB,아이폰11,기본,128GB,중,324000
아이폰12 128GB,아이폰12,기본,128GB,상,489000
아이폰12 미니 128GB,아이폰12,미니,128GB,하,421000
아이폰11 64GB,아이폰11,기본,64GB,하,400000
아이폰12 미니 256GB,아이폰12,미니,256GB,중,474000
아이폰11 64GB,아이폰11,기본,64GB,하,421000
아이폰12 256GB,아이폰12,기본,256GB,중,653000
아이폰12 64GB,아이폰12,기본,64GB,중,548000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,737000
아이폰8 256GB,아이폰8,기본,256GB,하,220000
아이폰SE (2020) 256GB,아이폰SE,2020,256GB,하,254000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,516000
아이폰XR 64GB,아이폰xr,기본,64GB,하,316000
아이폰13 프로 256GB,아이폰13,프로,256GB,중,1200000
아이폰12 미니 128GB,아이폰12,미니,128GB,하,443000
아이폰13 프로 맥스 512GB,아이폰13,프로맥스,512GB,상,1360000
아이폰X 256GB,아이폰X,기본,256GB,중,300000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,292000
아이폰XR 128GB,아이폰xr,기본,128GB,하,195000
아이폰11 64GB,아이폰11,기본,64GB,하,215000
아이폰11 128GB,아이폰11,기본,128GB,하,325000
아이폰X 64GB,아이폰X,기본,64GB,중,195000
아이폰12 미니 128GB,아이폰12,미니,128GB,하,400000
아이폰7 32GB,아이폰7,기본,32GB,상,110000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,849000
아이폰6s 플러스 128GB,아이폰6s,플러스,128GB,상,150000
아이폰11프로 64GB,아이폰11,프로,64GB,상,385000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,260000
아이폰13 256GB,아이폰13,기본,256GB,중,580000
아이폰13 프로 128GB,아이폰13,프로,128GB,중,850000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,760000
아이폰11 64GB,아이폰11,기본,64GB,중,320000
아이폰11프로맥스 256GB,아이폰11,프로맥스,256GB,중,620000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,420000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,상,1099000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,809000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,808000
아이폰11 64GB,아이폰11,기본,64GB,중,330000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1000000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1050000
아이폰X 64GB,아이폰X,기본,64GB,중,250000
아이폰13 128GB,아이폰13,기본,128GB,중,620000
아이폰7 128GB,아이폰7,기본,128GB,중,95000
아이폰11프로맥스 256GB,아이폰11,프로맥스,256GB,상,531000
아이폰XR 64GB,아이폰xr,기본,64GB,하,149000
아이폰14프로 256GB,아이폰14,프로,256GB,상,1474000
아이폰7 32GB,아이폰7,기본,32GB,상,120000
아이폰11 64GB,아이폰11,기본,64GB,하,300000
아이폰SE 64GB,아이폰SE,기본,64GB,상,230000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,999000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,850000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,350000
아이폰13 미니 256GB,아이폰13,미니,256GB,중,620000
아이폰12 64GB,아이폰12,기본,64GB,중,420000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,340000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,660000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,740000
아이폰12 128GB,아이폰12,기본,128GB,중,490000
아이폰13 128GB,아이폰13,기본,128GB,중,620000
아이폰6s 64GB,아이폰6,기본,64GB,중,100000
아이폰XR 64GB,아이폰xr,기본,64GB,중,232000
아이폰8 64GB,아이폰8,기본,64GB,상,230000
아이폰8 64GB,아이폰8,기본,64GB,상,230000
아이폰13 프로 512GB,아이폰13,프로,512GB,상,1400000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,339000
아이폰8 64GB,아이폰8,기본,64GB,상,230000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,1128000
아이폰14프로 256GB,아이폰14,프로,256GB,상,1620000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,295000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,376000
아이폰XR 128GB,아이폰xr,기본,128GB,중,282000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,330000
아이폰XR 64GB,아이폰xr,기본,64GB,중,200000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,657000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,940000
아이폰12 프로 맥스 128GB,아이폰12,프로맥스,128GB,중,785000
아이폰8 64GB,아이폰8,기본,64GB,상,225000
아이폰8 64GB,아이폰8,기본,64GB,상,225000
아이폰8 64GB,아이폰8,기본,64GB,중,200000
아이폰XR 64GB,아이폰xr,기본,64GB,중,280000
아이폰XR 64GB,아이폰xr,기본,64GB,중,280000
아이폰XR 64GB,아이폰xr,기본,64GB,중,280000
아이폰SE (2020) 64GB,아이폰SE,2020,64GB,상,200000
아이폰SE (2020) 128GB,아이폰SE,2020,128GB,상,205000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,405000
아이폰11 64GB,아이폰11,기본,64GB,상,390000
아이폰Xs 64GB,아이폰xs,기본,64GB,중,380000
아이폰Xs 256GB,아이폰xs,기본,256GB,중,355000
아이폰Xs 맥스 64GB,아이폰xs,맥스,64GB,중,405000
아이폰Xs 맥스 256GB,아이폰xs,맥스,256GB,중,450000
아이폰8 256GB,아이폰8,기본,256GB,중,230000
아이폰11프로 256GB,아이폰11,프로,256GB,상,503000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,상,1166000
아이폰11 128GB,아이폰11,기본,128GB,중,397000
아이폰11 64GB,아이폰11,기본,64GB,중,366000
아이폰11 64GB,아이폰11,기본,64GB,중,366000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,657000
아이폰SE (2022) 64GB,아이폰SE,2022,64GB,중,300000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,927000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,상,1320000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,716000
아이폰12 64GB,아이폰12,기본,64GB,중,500000
아이폰12 프로 128GB,아이폰12,프로,128GB,중,706000
아이폰12 프로 128GB,아이폰12,프로,128GB,상,550000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,320000
아이폰12 프로 512GB,아이폰12,프로,512GB,상,770000
아이폰11 256GB,아이폰11,기본,256GB,중,385000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,450000
아이폰12 64GB,아이폰12,기본,64GB,중,540000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,675000
아이폰13 미니 128GB,아이폰13,미니,128GB,중,548000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,650000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,620000
아이폰11 128GB,아이폰11,기본,128GB,중,389000
아이폰7 128GB,아이폰7,기본,128GB,중,131000
아이폰12 프로 128GB,아이폰12,프로,128GB,상,589000
아이폰8 256GB,아이폰8,기본,256GB,중,180000
